text,category,date,severity,value_weight,financial_impact,confidence,app_version,upvotes
the movies hardly work,General App Feedback,2025-05,2.0,2.5,5.0,0.2996,8.52.2 build 14 50335,0
"Large and varied content, and using the site and application is easy and not complicated. But I wish there would be more Arabic content.",General App Feedback,2025-05,2.0,0.8,1.6,0.2224,9.17.1 build 4 62728,0
"well you try marathon it, and it goes error and needs to reinstall, do a debugging",App Crash & Launch Failure,2025-05,2.5,1.0,2.5,0.4975,9.17.1 build 4 62728,0
why does it takes to long to load the movies even though i use wifi please fix bugs,Video & Streaming Playback,2025-05,2.5,2.5,6.25,0.5797,9.16.0 build 6 62648,0
"i got a loading circle for 5 minutes and nothing happened.. don't mention about my network, everything was fine, I can watch on another app without delay.",Performance & Speed,2025-05,2.0,2.5,5.0,0.5377,9.16.0 build 6 62648,0
"Galaxy S20 regularly updated The app is always too dark, so good luck watching anything that has a dim or dark setting",General App Feedback,2025-05,2.0,1.0,2.0,0.2166,,0
Love everything about the app. The only thing I hate is auto renewal of subscription. Imagine if I die in an accident tomorrow. Netflix will still be charging me until I exhaust my balance. Pausing a subscription every month makes no sense. It's best if they introduce some annual or pre-paid plans. A gift card would be good too.,Subscription & Billing,2025-05,2.5,1.0,2.5,0.4502,9.16.0 build 6 62648,0
"won't play anything on my phone for more than 2 seconds, then the video freezes with the auto continuing. tried reinstalling the app, restarting my phone, nothing will make it work.",Video & Streaming Playback,2025-05,2.0,1.0,2.0,0.5871,9.16.0 build 6 62648,0
"hi, i can not open netflix on my samsung phone, previously can. only show word NETFLIX than nothing happen. is that something wrong with the app? thanks",App Crash & Launch Failure,2025-05,2.0,0.8,1.6,0.3331,8.59.1 build 12 50370,0
movies are really sucking and price and rules getting ridiculous. I won't pay for it if my mom didn't want it. gone,General App Feedback,2025-05,2.0,0.8,1.6,0.2717,8.58.0 build 8 50362,0
"What's up with Netflix... After all nonsense now they stop playing movie trailers?? Instead of focusing on constantly increasing membership prices, and limiting people where they can watch and on how many devices, they should work on making their paying members experience better not worse... How money hungry you can be, when you are pulling tens of billions of dollars every year, and the same time overpaying millions on useless contracts, trying to create stupid content, no one is watching.",Subscription & Billing,2025-05,3.5,2.5,8.75,0.3058,9.14.0 build 9 62572,0
if i want to watch any movie it doesn't even start it buffers the worst experience I'm getting in netflix now a days,Video & Streaming Playback,2025-05,3.5,4.0,14.0,0.5175,9.16.0 build 6 62648,0
please update and make it available for free I like this app and if my parents is know I used money in Netflix they give me a hard punishment,Subscription & Billing,2025-05,2.0,1.0,2.0,0.3259,9.14.0 build 9 62572,0
It is the best platform for movies but its subscription is very costly,Video & Streaming Playback,2025-05,2.0,1.0,2.0,0.3377,,0
Netflix mobile needs picture-in-picture so that I can watch Netflix while doing other stuff on my phone. It's really the only downside.,General App Feedback,2025-05,2.0,4.0,8.0,0.2621,9.16.0 build 6 62648,8
"I want you to do a kindness and release Ben 10 Alien Force and Ben 10 Ultimate Alien series on Netflix, I request you please 👏",General App Feedback,2025-05,2.0,2.5,5.0,0.1659,9.16.0 build 6 62648,0
deducting my money even I didn't allow it such a trash Netflix.,Subscription & Billing,2025-05,2.0,1.0,2.0,0.3901,9.15.1 build 11 62624,0
"The app CONSTANTLY freezes when casting, randomly restarts itself, disconnects from casting for no reason, and often disconnects on my phone, but continues playing on my tv yet I can't control the pause or stop to turn it off. This is the only streaming app that does this and it's EXTREMELY ANNOYING!!! For the amount of money we pay each month for this service, the app shouldn't be such garbage!",Video & Streaming Playback,2025-05,2.6,1.0,2.6,0.4654,8.52.2 build 14 50335,0
App only shows black screen since update.,App Crash & Launch Failure,2025-05,2.0,2.5,5.0,0.5632,9.16.0 build 6 62648,1
"I can't wait until Netflix to be a thing of the past, replaced by something better All the commercials, the reloading, having to unplug the TV to get it working again....Videotapes and DVDs it is",Video & Streaming Playback,2025-05,2.0,1.0,2.0,0.384,,1
netfilx is not cheapest one correct. வேறு very less amount of tamil audio movies and series. and all the vedios are slow moving but hearing voice is normal. how to manage this. waste of time and money,General App Feedback,2025-05,2.5,1.0,2.5,0.2434,,0
"Unable to stream with my family, too expensive for the poor selection it has.",Video & Streaming Playback,2025-05,2.5,2.5,6.25,0.4652,,0
Price kinda high now but kid is addicted to showes only showed on netflix,General App Feedback,2025-05,2.0,2.5,5.0,0.2706,,0
too many ads. there shouldn't even be ads for a paid plan.,Subscription & Billing,2025-05,2.0,1.0,2.0,0.4164,9.15.1 build 11 62624,0
webseries so nice subscription also less cost any one can see,Subscription & Billing,2025-05,2.0,1.0,2.0,0.4166,9.13.0 build 5 62532,0
"what is not to like about Netflix, sharing accounts with your loved ones, watching tv or movies together.",General App Feedback,2025-05,2.0,2.5,5.0,0.1927,9.14.0 build 9 62572,0
"Now these days content is scattered on different platforms! You search a movie, its on different streaming services! what the heck! Have to put out my credit card! So Sorry to these streaming services! Better options we know, rather then paying for various platforms",Content & Features,2025-05,2.6,2.5,6.5,0.4273,,0
please Netflix upload all series. why can't find some series,Content & Features,2025-05,2.0,1.0,2.0,0.3562,9.13.0 build 5 62532,0
"Many times issue faced on page showing loading after starting a movie or series even though network is great, it is irritating and reduces interest in the series. other ott channels like jio hotstar are working far better than netflix in terms of speed",Video & Streaming Playback,2025-05,2.0,0.8,1.6,0.4439,9.13.0 build 5 62532,0
After the latest update on LG tv the profiles pin are visible for other viewers to see. Kids are able to click on any profile and the back button a few times which enables them to logon to anyone's profile on the TV,General App Feedback,2025-04,2.0,0.8,1.6,0.2209,9.12.0 build 5 62504,0
"Now a days netflix are so boring..even though we paid for it but most of the movie/ drama series not updated,me n my frn can watch another latest movie in another apps..i hope NETFLIX can release 2023 new korean / turkies movies/ drama which is more fun and adventures ..thank you",General App Feedback,2025-04,2.0,0.8,1.6,0.1945,9.11.1 build 10 62492,2
Sad to see what money dose to a great company. these ads ain't it.,Subscription & Billing,2025-04,2.0,1.0,2.0,0.3133,9.12.0 build 5 62504,2
"can't even access my account, slowly been getting worse for years but this is just trash at this point.",Account & Login,2025-04,2.0,1.0,2.0,0.5029,,0
i need a free trial start to see if it's worth my payment. should have at least a 5 to 7 day free trial...,Subscription & Billing,2025-04,2.0,1.0,2.0,0.4761,,0
"Doesn't work after last update, black screen and crashes",App Crash & Launch Failure,2025-04,2.0,2.5,5.0,0.5022,9.12.0 build 5 62504,0
"Disappointed in Netflix, they do not update their seasons on Marco pillow and others. Leaving you not wanting to watch any of their season episodes. If I could find Marco Polo on another's dream. I would definitely watch It there disappointed in Netflix. Netflix needs to update their movies. The only CA movie once every 2 to 3 months. That's any good, don't know if I'll keep my account disappointed not worth the money I pay.",General App Feedback,2025-04,2.0,1.0,2.0,0.196,9.11.1 build 10 62492,1
Not sure why someone thought is was a good idea to show which buttons are pressed when putting in the profile pin.,UI & Navigation,2025-04,2.0,2.5,5.0,0.3015,9.12.0 build 5 62504,0
can't change your due date. have to cancel and start again. WTH. program your computer so this is easier.,Subscription & Billing,2025-04,2.0,2.5,5.0,0.3026,9.12.0 build 5 62504,0
The price of subscription keeps going up .but the quality of content hasn't,Subscription & Billing,2025-04,2.0,1.0,2.0,0.4414,,0
"ihave been facing a very frustrating issue with Netflix. Once a week,the playback security level automatically drops from Widevine L1 to L3. As a result, even though I have a subscription that includes HDR and higher-quality streaming, the video only plays (SD). It is very disappointing that, as an end customer, I am expected to troubleshoot this issue myself. I do not understand why Netflix cannot provide a permanent fix for this problem. For a platform of this scale, really disappointing",Video & Streaming Playback,2025-04,2.5,1.0,2.5,0.4601,,0
why is the offline freshly downloaded movies just won't play?,Download & Offline,2025-04,2.0,0.8,1.6,0.6117,9.13.0 build 5 62532,0
this stupid app takes money out of accounts without consent and if you ask for a refund they keep you for long before giving you a refund,Subscription & Billing,2025-04,3.5,1.0,3.5,0.4653,9.11.1 build 10 62492,0
too hard to log in very slow in updating log in and username waste of time and money,Account & Login,2025-04,2.5,1.0,2.5,0.4658,9.12.0 build 5 62504,0
I remember the days of ordering DVDs from you. Or how revolutionary streaming was in the early 10's. Now it's up to 21€ for a bloated selection of C tier wash and a handful of good productions that rotate out too quickly. Zero changes or innovation in the last decade minus adding pointless games.,General App Feedback,2025-04,2.0,1.0,2.0,0.2651,9.11.1 build 10 62492,0
they want me to pay £11.99 for a month subscription and I can't watch the credits to see who played what character because it doesn't give me a chance to watch all the credits. waste of money.,Subscription & Billing,2025-04,2.0,2.5,5.0,0.505,9.10.0 build 10 62444,0
"no updated movies, waste of money",Content & Features,2025-04,2.0,2.5,5.0,0.3112,,0
App perfect but payment method sometimes help we those from Africa and sometimes struggle to pay for subscription,Subscription & Billing,2025-04,2.0,0.8,1.6,0.5587,,0
The downloaded shows get expired for no reason. Waste of money,Download & Offline,2025-04,2.0,1.0,2.0,0.4359,9.11.1 build 10 62492,0
"Earlier your contents had some standard and now you are losing your standard by adding substandard indian shows like Kapil Sharma show, CID, Crime petrol etc. Please improve your standard.",General App Feedback,2025-04,2.0,2.5,5.0,0.2536,9.11.1 build 10 62492,0
Best App out there for binge watching video although u have to pay for a membership but trust me when i say its totally worth it,General App Feedback,2025-04,2.0,1.0,2.0,0.2961,8.67.1 build 11 50414,0
"Price increase then added commercials, now they sign you up for charges you don't agree to with little warning.",Subscription & Billing,2025-04,2.0,0.8,1.6,0.4398,9.10.0 build 10 62444,3
"The app on here is fine, but Love Death and Robots on roku doesn't start over after you finish it and it's been like that for years now Update: If the show already provides subtitles you don't have to put yours on top of theirs",General App Feedback,2025-04,2.0,5.0,10.0,0.2837,8.99.1 build 8 50590,1
"price increasing, but netflix always late in air the shows.",Subscription & Billing,2025-04,2.0,5.0,10.0,0.3157,9.10.0 build 10 62444,0
There is need to provide a request button for people to request for movies and series that are not on Netflix.,Content & Features,2025-04,2.0,1.0,2.0,0.3845,,0
"Subtitles turn off sometimes for some reason, once in the middle of watching and 2 more times as I watched a new episode. Subtitle translators are also weird... I was watching a chinese drama and the english subtitles said ""Senpai."" Why is there a Japanese word in a chinese drama??",General App Feedback,2025-04,2.0,4.0,8.0,0.1983,8.140.1 build 14 51170,0
Search with Galaxy tablet attached keyboard in-app is not working now. Can only use on-screen keyboard. Please rectify,General App Feedback,2025-04,2.0,1.0,2.0,0.2864,9.10.0 build 10 62444,0
"#Glich city Honestly, I don't even know where to begin with how frustrating this app has become. What was once a smooth and enjoyable way to watch movies and shows has devolved into a technical nightmare. The sheer number of glitches I encounter on a daily basis is astounding.",Video & Streaming Playback,2025-04,2.0,2.5,5.0,0.3963,9.10.0 build 10 62444,0
"I can't watch in hd even though i have a premium account, just because my phone is vivo y15a. I hope netflix could include vivo y15a in the devices that could watch hd, thanks.",Video & Streaming Playback,2025-04,2.0,1.0,2.0,0.324,9.10.0 build 10 62444,0
No New movies is uploaded,Content & Features,2025-04,2.0,1.0,2.0,0.4158,7.71.0 build 9 35074,0
My husband is about to cancel our subscription. This is becoming a headache. We have it signed in on our tvs. And our cell phones. Us and our 3 children. And it is wanting us to create another account to be able to watch on our cell phones. so apparently I need a temporary watch for my cell phone? or because I have a new cell phone? yes Netflix you've got it wrong🤦‍♀️,Subscription & Billing,2025-04,2.0,1.0,2.0,0.4618,8.117.0 build 3 50695,0
as usual problem the subscription,Subscription & Billing,2025-04,2.0,1.0,2.0,0.4654,,0
I can't watch all the Madea movies because most of them are not available in Suriname plz fix this,Video & Streaming Playback,2025-04,2.5,1.0,2.5,0.3535,9.8.2 build 6 62380,0
"I have been a Netflix user for the past 10 years.Recently this app shows 'loading' for a long time whenever i try to watch something . I am paying the app to watch the content not the loading messages.This only wasted my time and money. I have checked my internet connection, uninstalled this app, and re login. But no use. So please fix this issue.",Performance & Speed,2025-03,2.5,1.0,2.5,0.4651,9.8.2 build 6 62380,1
"The app is buggy, it randomly pauses your show. They have also become very greedy, giving less features while raising the price.",Performance & Speed,2025-03,2.0,2.5,5.0,0.3779,9.8.2 build 6 62380,3
"Netflix is not cheap at all, not to mention the sexual content they expose our children to, and the nonsense and disgust. If I mention sexual content, everyone gets sensitive and feels disgusted that it is being shown to children, but when it comes to mentioning gay sexual content, no one speaks up. It's nonsense",General App Feedback,2025-03,2.0,1.0,2.0,0.2698,9.8.2 build 6 62380,0
it's soon good that I don't have to pay to watch any movies on it,General App Feedback,2025-03,2.0,2.5,5.0,0.299,,0
greedy and disgusting company that would rather put their money towards funding shows that exploit children than having people be able to share their accounts with family outside of the household.,General App Feedback,2025-03,3.5,2.5,8.75,0.2304,,1
"not getting continue watching. everytime I have to go to search, search for the show and click on the specific episode what I stopped. and still it will play from start",App Crash & Launch Failure,2025-03,2.0,2.5,5.0,0.3443,,1
"I cannot watch Netflix on my Pixel phone because the screen flashes due the dimming feature within the app. This has been a known issue for a long time, specifically with the Netflix app, yet they haven't fixed it.",Video & Streaming Playback,2025-03,2.0,1.0,2.0,0.3888,9.7.1 build 9 62328,1
